created_at,compensated_tds_value
2022-09-13 07:02:48+00:00,1920.81
2022-09-14 04:45:00+00:00,198.57
2022-09-14 04:46:47+00:00,207.1
2022-09-14 04:48:38+00:00,209.97
2022-09-14 04:50:33+00:00,212.08
2022-09-14 04:52:14+00:00,212.51
2022-09-14 04:54:00+00:00,213.18
2022-09-14 04:57:15+00:00,249.03
2022-09-14 04:57:15+00:00,249.03
2022-09-14 04:59:02+00:00,256.43
2022-09-14 05:00:54+00:00,267.38
2022-09-14 05:02:53+00:00,266.14
2022-09-14 05:02:53+00:00,266.14
2022-09-14 05:08:47+00:00,253.58
2022-09-14 05:12:15+00:00,242.04
2022-09-14 05:12:15+00:00,242.04
2022-09-14 05:14:04+00:00,243.85
2022-09-14 05:16:01+00:00,243.38
2022-09-14 05:19:45+00:00,242.55
2022-09-14 05:19:45+00:00,242.55
2022-09-14 05:21:43+00:00,242.43
2022-09-14 05:21:43+00:00,242.43
2022-09-14 05:23:38+00:00,243.5
2022-09-14 05:23:38+00:00,243.5
2022-09-14 05:23:38+00:00,243.5
2022-09-14 05:25:36+00:00,242.93
2022-09-14 05:25:36+00:00,242.93
2022-09-14 05:27:46+00:00,242.45
2022-09-14 05:29:58+00:00,242.29
2022-09-14 05:29:58+00:00,242.29
2022-09-14 05:32:24+00:00,241.93
2022-09-14 05:37:37+00:00,242.55
2022-09-14 05:40:25+00:00,242.67
2022-09-14 05:46:22+00:00,243.54
2022-09-14 05:46:22+00:00,243.54
2022-09-14 05:52:43+00:00,243.34
2022-09-14 07:02:02+00:00,153.63
2022-09-14 07:02:02+00:00,153.63
2022-09-14 07:03:56+00:00,254.26
2022-09-14 07:03:56+00:00,254.26
2022-09-14 07:03:56+00:00,254.26
2022-09-14 07:05:52+00:00,254.24
2022-09-14 07:05:52+00:00,254.24
2022-09-14 07:07:39+00:00,253.94
2022-09-14 07:09:38+00:00,254.21
2022-09-14 07:11:35+00:00,254.58
2022-09-14 07:13:29+00:00,254.59
2022-09-14 07:15:26+00:00,254.83
2022-09-14 07:15:26+00:00,254.83
2022-09-14 07:22:12+00:00,254.94
2022-09-14 07:22:12+00:00,254.94
2022-09-14 10:41:49+00:00,248.38
2022-09-14 10:43:45+00:00,246.94
2022-09-14 12:53:15+00:00,325.92
2022-09-14 12:53:15+00:00,325.92
2022-09-14 14:53:57+00:00,310.46
2022-09-14 14:53:57+00:00,310.46
2022-09-14 16:54:45+00:00,308.56
2022-09-14 18:55:42+00:00,310.48
2022-09-14 20:56:32+00:00,307.49
2022-09-14 22:57:22+00:00,305.77
2022-09-14 22:57:22+00:00,305.77
2022-09-15 00:58:16+00:00,305.04
2022-09-15 02:59:15+00:00,306.48
2022-09-15 05:00:14+00:00,312.9
2022-09-15 07:01:04+00:00,311.76
2022-09-15 09:01:59+00:00,309.97
2022-09-15 11:02:42+00:00,307.72
2022-09-15 13:03:31+00:00,302.9
2022-09-15 15:04:27+00:00,301.06
2022-09-15 17:05:27+00:00,306.67
2022-10-09 12:14:11+00:00,218.28
2022-10-09 12:14:11+00:00,218.28
2022-10-09 12:14:11+00:00,218.28
2022-10-09 14:14:48+00:00,217.63
